case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
TC-01,True,87.2,0.6,0.75,1.0,True,"조건부 배포 가능, 개선 후 재검증",,12.0,9.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,30.36,
TC-02,True,91.5,0.6,1.0,1.0,True,배포 가능,,12.5,9.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,26.42,
TC-03,True,96.2,1.0,0.75,1.0,True,배포 가능,,15.0,15.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,25.48,
TC-04,True,94.3,1.0,0.75,1.0,True,배포 가능,,13.1,15.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,22.47,
TC-05,True,88.7,0.6,0.75,1.0,True,"조건부 배포 가능, 개선 후 재검증",,13.5,9.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,25.97,
TC-06,True,96.1,1.0,0.7432,1.0,True,배포 가능,,15.0,15.0,11.1,10.0,10.0,15.0,10.0,5.0,5.0,25.9,
TC-07,True,93.1,0.6667,1.0,1.0,True,배포 가능,,13.1,10.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,22.48,
TC-08,True,98.1,1.0,0.875,1.0,True,배포 가능,,15.0,15.0,13.1,10.0,10.0,15.0,10.0,5.0,5.0,24.93,
TC-09,True,96.8,1.0,0.7857,1.0,True,배포 가능,,15.0,15.0,11.8,10.0,10.0,15.0,10.0,5.0,5.0,23.79,
TC-10,False,29.5,0.0,0.5,0.2,True,배포 보류,,9.0,0.0,7.5,0.0,0.0,3.0,0.0,5.0,5.0,0.02,
TC-11,False,31.7,0.0,0.5,0.2,True,배포 보류,,11.2,0.0,7.5,0.0,0.0,3.0,0.0,5.0,5.0,0.02,
TC-12,True,95.8,1.0,0.7196,1.0,True,배포 가능,,15.0,15.0,10.8,10.0,10.0,15.0,10.0,5.0,5.0,23.66,
TC-13,True,84.1,0.2,0.74,1.0,True,"조건부 배포 가능, 개선 후 재검증",,15.0,3.0,11.1,10.0,10.0,15.0,10.0,5.0,5.0,23.16,
TC-14,True,91.2,0.6,0.8133,1.0,True,배포 가능,,15.0,9.0,12.2,10.0,10.0,15.0,10.0,5.0,5.0,22.48,
TC-15,False,85.0,1.0,1.0,1.0,True,"조건부 배포 가능, 개선 후 재검증",,0.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,0.02,
TC-16,True,100.0,1.0,1.0,1.0,True,배포 가능,,15.0,15.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,7.93,NO_MATCHING_VOC
TC-17,True,96.1,1.0,0.7421,1.0,True,배포 가능,,15.0,15.0,11.1,10.0,10.0,15.0,10.0,5.0,5.0,26.28,
TC-18,True,97.0,1.0,0.8014,1.0,True,배포 가능,,15.0,15.0,12.0,10.0,10.0,15.0,10.0,5.0,5.0,24.56,
