case_id,passed,score,retrieval_relevance,summary_faithfulness,policy_actionability,safety,deployment,hard_blockers,interpreter_accuracy,retriever_relevance,summarizer_faithfulness,evaluator_validity,critic_risk_detection,improver_actionability,agent_handoff,fault_and_logging,performance,total_duration_ms,error_code
TC-01,True,90.2,0.8,0.75,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.0,12.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,30.96,
TC-02,True,88.5,0.4,1.0,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,12.5,6.0,15.0,10.0,10.0,15.0,10.0,5.0,5.0,27.56,
TC-03,True,96.2,1.0,0.75,1.0,True,배포 가능,,15.0,15.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,24.74,
TC-04,True,91.8,0.8333,0.75,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,13.1,12.5,11.2,10.0,10.0,15.0,10.0,5.0,5.0,40.64,
TC-05,True,89.7,0.6667,0.75,1.0,True,"조건부 배포 보류, 기준 점수 충족 후 재검증",,13.5,10.0,11.2,10.0,10.0,15.0,10.0,5.0,5.0,26.06,
